City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,ilhabela,-23.7781,-45.3581,22.98,92,100,2.87,BR,1733866211
272,badger,64.8,-147.5333,-1.86,90,75,0.0,US,1733866213
273,aasiaat,68.7098,-52.8699,-15.65,80,11,3.38,GL,1733866214
274,inhuma,-6.6683,-41.7078,30.21,36,77,2.68,BR,1733866215
275,avarua,-21.2078,-159.775,27.03,78,75,8.75,CK,1733866216
276,sinop,41.7711,34.8709,9.66,77,100,5.4,TR,1733866217
277,deuchendorf,47.4649,15.3196,1.83,93,100,1.34,AT,1733866218
278,tralee,52.2704,-9.7026,0.58,97,26,2.0,IE,1733866219
279,zhaqsy,51.9083,67.3133,-10.23,78,100,8.88,KZ,1733866220
280,walvis bay,-22.9575,14.5053,18.42,76,99,3.02,NA,1733866211
281,prado,-17.3411,-39.2208,25.26,79,32,6.5,BR,1733866223
282,chonchi,-42.6128,-73.8092,16.73,70,100,1.2,CL,1733866224
283,babu,24.4167,111.5167,10.99,79,100,4.36,CN,1733866225
284,batticaloa,7.7102,81.6924,24.17,95,100,4.77,LK,1733866226
285,ujae,8.9322,165.7642,28.35,77,97,6.62,MH,1733866227
286,olinda,-8.0089,-34.8553,27.85,69,20,4.12,BR,1733866204
287,dudinka,69.4058,86.1778,-12.46,93,100,8.76,RU,1733866229
288,tasova,40.7597,36.3225,9.57,73,100,0.93,TR,1733866230
289,new carlisle,39.9362,-84.0255,9.23,94,75,3.6,US,1733866231
290,praia da vitoria,38.7333,-27.0667,17.14,88,75,3.95,PT,1733866233
291,kiunga,-6.1219,141.2906,24.13,100,100,0.3,PG,1733866234
292,diu,20.7141,70.9822,17.22,34,31,4.31,IN,1733866235
293,neiafu,-18.65,-173.9833,28.38,78,75,4.63,TO,1733866237
294,kargil,34.5667,76.1,-10.45,82,100,1.71,IN,1733866238
295,alofi,-19.0595,-169.9187,27.94,74,75,7.2,NU,1733866239
296,linhares,-19.3911,-40.0722,24.98,76,7,4.88,BR,1733866240
297,baiyin,36.5583,104.2081,-10.68,94,53,1.54,CN,1733866241
298,lubango,-14.9172,13.4925,16.92,88,0,2.57,AO,1733866242
299,new norfolk,-42.7826,147.0587,12.73,73,99,3.27,AU,1733866244
300,mcrae,32.068,-82.9007,22.11,62,98,4.49,US,1733866023
